Anio|Revista|Citas|JCR|Diff
2021|AI Communications|553|2.882|1.853
2022|AI Communications|553|1.913|0.884
2004|Robotics and Autonomous Systems|511|46.514|46.046
2005|Robotics and Autonomous Systems|536|45.692|44.915
2006|Robotics and Autonomous Systems|777|27.684|26.852
2007|Robotics and Autonomous Systems|918|30.953|30.32
2008|Robotics and Autonomous Systems|1364|35.348|34.134
2009|Robotics and Autonomous Systems|1526|42.335|40.974
2010|Robotics and Autonomous Systems|1665|46.092|44.779
2011|Robotics and Autonomous Systems|1445|36.181|35.125
2012|Robotics and Autonomous Systems|1807|27.426|26.27
2013|Robotics and Autonomous Systems|1864|28.554|27.449
2014|Robotics and Autonomous Systems|2326|37.468|36.212
2015|Robotics and Autonomous Systems|2570|34.684|33.066
2016|Robotics and Autonomous Systems|3891|31.043|29.093
2017|Robotics and Autonomous Systems|4659|32.842|30.204
2018|Robotics and Autonomous Systems|6182|26.29|23.362
2019|Robotics and Autonomous Systems|6270|21.83|19.005
2020|Robotics and Autonomous Systems|2.94|18.121|15.001
2021|Robotics and Autonomous Systems|8569|13.68|9.98
2022|Robotics and Autonomous Systems|8569|8.548|4.848
2004|Minds and Machines|127|9.644|8.899
2005|Minds and Machines|95|17.507|17.262
2006|Minds and Machines|153|18.471|17.996
2007|Minds and Machines|176|13.167|12.738
2008|Minds and Machines|166|21.412|21.072
2009|Minds and Machines|266|24.519|23.736
2010|Minds and Machines|216|18.796|18.178
2011|Minds and Machines|237|9.548|9.238
2012|Minds and Machines|219|8.924|8.466
2013|Minds and Machines|223|10.439|9.865
2014|Minds and Machines|249|7.808|7.24
2015|Minds and Machines|269|4.891|4.122
2016|Minds and Machines|358|2.936|2.422
2017|Minds and Machines|355|7.543|6.701
2018|Minds and Machines|449|10.964|9.564
2019|Minds and Machines|534|11.524|9.669
2020|Minds and Machines|3.123|13.397|9.993
2021|Minds and Machines|1180|19.98|14.641
2022|Minds and Machines|1180|15.667|10.328
2004|Applied Intelligence|181|21.48|21.003
2005|Applied Intelligence|222|19.397|18.828
2006|Applied Intelligence|233|17.066|16.737
2007|Applied Intelligence|284|19.247|18.747
2008|Applied Intelligence|407|24.829|24.054
2009|Applied Intelligence|534|24.929|23.941
2010|Applied Intelligence|508|21.977|21.084
2011|Applied Intelligence|500|18.031|17.182
2012|Applied Intelligence|927|16.937|15.084
2015|Applied Intelligence|970|19.25|18.035
2016|Applied Intelligence|1473|22.591|20.687
2017|Applied Intelligence|1702|22.341|20.358
2018|Applied Intelligence|2667|19.032|16.15
2019|Applied Intelligence|3732|21.837|18.512
2020|Applied Intelligence|4.416|21.106|16.02
2021|Applied Intelligence|8493|15.002|9.983
2022|Applied Intelligence|8493|12.015|6.996
2004|Journal of Mathematical Imaging and Vision|296|27.176|26.289
2005|Journal of Mathematical Imaging and Vision|458|73.419|71.222
2006|Journal of Mathematical Imaging and Vision|437|67.153|65.386
2007|Journal of Mathematical Imaging and Vision|671|37.726|36.506
2008|Journal of Mathematical Imaging and Vision|804|37.847|36.516
2009|Journal of Mathematical Imaging and Vision|1074|27.434|25.997
2010|Journal of Mathematical Imaging and Vision|1063|24.277|22.992
2011|Journal of Mathematical Imaging and Vision|1139|24.851|23.46
2012|Journal of Mathematical Imaging and Vision|1207|44.808|43.041
2013|Journal of Mathematical Imaging and Vision|1354|41.847|39.517
2014|Journal of Mathematical Imaging and Vision|1566|16.724|15.172
2015|Journal of Mathematical Imaging and Vision|1673|16.727|15.266
2016|Journal of Mathematical Imaging and Vision|2017|17.943|15.949
2017|Journal of Mathematical Imaging and Vision|2049|15.796|13.869
2018|Journal of Mathematical Imaging and Vision|2286|10.848|9.245
2019|Journal of Mathematical Imaging and Vision|2085|8.778|7.425
2020|Journal of Mathematical Imaging and Vision|1.438|6.811|5.184
2021|Journal of Mathematical Imaging and Vision|2303|5.613|3.986
2022|Journal of Mathematical Imaging and Vision|2303|4.302|2.675
2004|Neurocomputing|1073|25.276|24.635
2005|Neurocomputing|1463|22.633|21.843
2006|Neurocomputing|1830|15.809|14.949
2007|Neurocomputing|2052|33.673|32.808
2008|Neurocomputing|2946|34.169|32.935
2009|Neurocomputing|4108|25.799|24.359
2010|Neurocomputing|4035|27.597|26.155
2011|Neurocomputing|4575|27.556|25.976
2012|Neurocomputing|5594|28.068|26.434
2013|Neurocomputing|6796|26.423|24.418
2014|Neurocomputing|8869|26.734|24.651
2015|Neurocomputing|192|0|0.45
2016|Neurocomputing|248|0|0.548
2017|Neurocomputing|246|0|0.536
2018|Neurocomputing|245|0|0.5
2019|Neurocomputing|274|0|0.44
2020|Neurocomputing|0.771|0|0.829
2021|Neurocomputing|277|0|0.617
2022|Neurocomputing|277|0|0.617
2004|Journal of Intelligent Information Systems|324|26.737|25.886
2005|Journal of Intelligent Information Systems|344|31.885|30.651
2006|Journal of Intelligent Information Systems|337|28.354|27.604
2007|Journal of Intelligent Information Systems|378|24.358|23.562
2008|Journal of Intelligent Information Systems|529|25.692|24.617
2009|Journal of Intelligent Information Systems|545|18.109|17.129
2010|Journal of Intelligent Information Systems|399|16.458|15.583
2011|Journal of Intelligent Information Systems|322|14.946|14.328
2012|Journal of Intelligent Information Systems|419|10.328|9.495
2013|Journal of Intelligent Information Systems|457|17.286|16.654
2014|Journal of Intelligent Information Systems|515|19.472|18.586
2015|Journal of Intelligent Information Systems|615|16.01|15.01
2016|Journal of Intelligent Information Systems|851|12.321|11.027
2017|Journal of Intelligent Information Systems|794|11.609|10.502
2018|Journal of Intelligent Information Systems|883|12.424|10.835
2019|Journal of Intelligent Information Systems|967|12.531|10.718
2020|Journal of Intelligent Information Systems|1.765|11.13|9.242
2021|Journal of Intelligent Information Systems|1373|8.71|6.206
2022|Journal of Intelligent Information Systems|1373|8.099|5.595
2004|Autonomous Robots|516|82.88|81.571
2005|Autonomous Robots|413|78.045|76.799
2006|Autonomous Robots|686|60.304|58.726
2007|Autonomous Robots|796|45.718|44.305
2008|Autonomous Robots|1134|36.576|35.076
2009|Autonomous Robots|1215|34.24|33.005
2010|Autonomous Robots|1319|50.056|48.023
2011|Autonomous Robots|1089|54.022|52.522
2012|Autonomous Robots|1240|50.33|48.422
2013|Autonomous Robots|1343|56.448|54.698
2014|Autonomous Robots|1350|72.356|70.29
2015|Autonomous Robots|1419|56.012|54.465
2016|Autonomous Robots|2722|27.376|24.67
2017|Autonomous Robots|2537|25.969|23.725
2018|Autonomous Robots|3460|28.918|25.284
2019|Autonomous Robots|3472|27.868|24.266
2020|Autonomous Robots|2.886|18.677|15.677
2021|Autonomous Robots|4629|11.884|8.629
2022|Autonomous Robots|4629|7.074|3.819
2004|Machine Vision and Applications|274|24.825|24.287
2005|Machine Vision and Applications|326|28.425|27.758
2006|Machine Vision and Applications|328|39.115|38.546
2007|Machine Vision and Applications|388|31.262|30.58
2008|Machine Vision and Applications|624|24.731|23.246
2009|Machine Vision and Applications|574|32.547|31.595
2010|Machine Vision and Applications|702|30.042|28.493
2011|Machine Vision and Applications|711|18.322|17.313
2012|Machine Vision and Applications|839|20.382|19.279
2013|Machine Vision and Applications|917|23.212|21.768
2014|Machine Vision and Applications|1145|20.291|18.94
2015|Machine Vision and Applications|1265|22.688|21.416
2016|Machine Vision and Applications|1797|21.311|19.306
2017|Machine Vision and Applications|1854|14.265|12.959
2018|Machine Vision and Applications|2038|14.608|12.82
2019|Machine Vision and Applications|2029|10.019|8.414
2020|Machine Vision and Applications|1.89|8.801|6.789
2021|Machine Vision and Applications|2529|9.987|7.004
2022|Machine Vision and Applications|2529|6.781|3.798
2004|Artificial Intelligence in Medicine|612|31.648|30.524
2005|Artificial Intelligence in Medicine|681|30.588|28.706
2006|Artificial Intelligence in Medicine|747|34.994|33.36
2007|Artificial Intelligence in Medicine|932|32.788|30.963
2008|Artificial Intelligence in Medicine|1025|26.13|24.17
2009|Artificial Intelligence in Medicine|1475|28.036|26.391
2010|Artificial Intelligence in Medicine|1110|30.514|28.946
2011|Artificial Intelligence in Medicine|1041|28.857|27.512
2012|Artificial Intelligence in Medicine|1281|26.761|25.406
2013|Artificial Intelligence in Medicine|1207|27.672|26.316
2014|Artificial Intelligence in Medicine|1475|28.857|26.838
2015|Artificial Intelligence in Medicine|1503|23.622|21.48
2016|Artificial Intelligence in Medicine|1807|23.977|21.968
2017|Artificial Intelligence in Medicine|2097|27.331|24.452
2018|Artificial Intelligence in Medicine|2462|27.409|23.835
2019|Artificial Intelligence in Medicine|2953|26.585|22.202
2020|Artificial Intelligence in Medicine|4.928|26.071|20.745
2021|Artificial Intelligence in Medicine|5314|23.965|16.954
2022|Artificial Intelligence in Medicine|5314|15.922|8.911
2004|Neural Computing and Applications|128|14.095|13.928
2005|Neural Computing and Applications|143|16.577|16.174
2006|Neural Computing and Applications|190|21.692|21.082
2007|Neural Computing and Applications|237|20.471|19.844
2008|Neural Computing and Applications|362|16.02|15.253
2009|Neural Computing and Applications|474|14.147|13.335
2010|Neural Computing and Applications|401|13.52|12.957
2011|Neural Computing and Applications|512|16.725|16.026
2012|Neural Computing and Applications|770|17.22|16.052
2013|Neural Computing and Applications|1375|16.177|14.414
2014|Neural Computing and Applications|2159|18.038|16.469
2015|Neural Computing and Applications|2398|23.218|21.726
2016|Neural Computing and Applications|3553|27.563|25.058
2017|Neural Computing and Applications|5191|27.333|23.12
2018|Neural Computing and Applications|8160|26.217|21.553
2019|Neural Computing and Applications|11375|23.33|18.556
2020|Neural Computing and Applications|4.808|21.17|15.564
2021|Neural Computing and Applications|23402|17.397|12.295
2022|Neural Computing and Applications|23402|12.767|7.665
2004|Knowledge-Based Systems|344|13.983|13.338
2005|Knowledge-Based Systems|309|12.695|11.999
2006|Knowledge-Based Systems|352|16.931|16.355
2007|Knowledge-Based Systems|403|18.507|17.933
2008|Knowledge-Based Systems|680|22.661|21.737
2009|Knowledge-Based Systems|933|31.956|30.648
2010|Knowledge-Based Systems|914|33.427|31.853
2011|Knowledge-Based Systems|1254|40.148|37.726
2012|Knowledge-Based Systems|2375|47.59|43.486
2013|Knowledge-Based Systems|2629|45.884|42.826
2014|Knowledge-Based Systems|3424|47.532|44.585
2015|Knowledge-Based Systems|4811|46.014|42.689
2016|Knowledge-Based Systems|7763|46.489|41.96
2017|Knowledge-Based Systems|9172|46.984|42.588
2018|Knowledge-Based Systems|12347|40.599|35.498
2019|Knowledge-Based Systems|15975|36.056|30.135
2020|Knowledge-Based Systems|6.796|32.866|24.828
2021|Knowledge-Based Systems|28857|24.596|16.457
2022|Knowledge-Based Systems|28857|16.349|8.21
2004|Engineering Applications of Artificial Intelligence|333|30.223|29.802
2005|Engineering Applications of Artificial Intelligence|412|32.359|31.65
2006|Engineering Applications of Artificial Intelligence|578|27.989|27.123
2007|Engineering Applications of Artificial Intelligence|716|28.0|27.238
2008|Engineering Applications of Artificial Intelligence|1192|33.995|32.598
2009|Engineering Applications of Artificial Intelligence|1483|36.161|34.717
2010|Engineering Applications of Artificial Intelligence|1426|36.939|35.587
2011|Engineering Applications of Artificial Intelligence|1745|37.584|35.919
2012|Engineering Applications of Artificial Intelligence|2085|36.202|34.577
2013|Engineering Applications of Artificial Intelligence|2655|36.637|34.675
2014|Engineering Applications of Artificial Intelligence|3329|34.505|32.298
2015|Engineering Applications of Artificial Intelligence|3775|32.78|30.412
2016|Engineering Applications of Artificial Intelligence|5111|29.514|26.62
2017|Engineering Applications of Artificial Intelligence|5555|27.441|24.622
2018|Engineering Applications of Artificial Intelligence|6789|27.024|23.498
2019|Engineering Applications of Artificial Intelligence|7561|28.317|24.116
2020|Engineering Applications of Artificial Intelligence|5.682|28.63|22.418
2021|Engineering Applications of Artificial Intelligence|13571|24.336|16.534
2022|Engineering Applications of Artificial Intelligence|13571|16.531|8.729
2004|Journal of Experimental &amp; Theoretical Artificial Intelligence|170|21.805|21.249
2005|Journal of Experimental &amp; Theoretical Artificial Intelligence|198|8.263|7.824
2006|Journal of Experimental &amp; Theoretical Artificial Intelligence|141|9.568|9.271
2007|Journal of Experimental &amp; Theoretical Artificial Intelligence|213|10.0|9.5
2008|Journal of Experimental &amp; Theoretical Artificial Intelligence|230|10.049|9.708
2009|Journal of Experimental &amp; Theoretical Artificial Intelligence|312|13.375|12.842
2010|Journal of Experimental &amp; Theoretical Artificial Intelligence|207|11.061|10.406
2011|Journal of Experimental &amp; Theoretical Artificial Intelligence|175|6.433|6.1
2012|Journal of Experimental &amp; Theoretical Artificial Intelligence|182|8.023|7.706
2013|Journal of Experimental &amp; Theoretical Artificial Intelligence|218|8.316|7.789
2014|Journal of Experimental &amp; Theoretical Artificial Intelligence|271|14.587|13.587
2015|Journal of Experimental &amp; Theoretical Artificial Intelligence|350|18.672|16.969
2016|Journal of Experimental &amp; Theoretical Artificial Intelligence|435|9.986|8.602
2017|Journal of Experimental &amp; Theoretical Artificial Intelligence|538|11.625|10.614
2018|Journal of Experimental &amp; Theoretical Artificial Intelligence|674|16.102|13.991
2019|Journal of Experimental &amp; Theoretical Artificial Intelligence|806|12.246|10.207
2020|Journal of Experimental &amp; Theoretical Artificial Intelligence|2.134|8.34|6.0
2021|Journal of Experimental &amp; Theoretical Artificial Intelligence|1240|8.297|6.001
2022|Journal of Experimental &amp; Theoretical Artificial Intelligence|1240|6.381|4.085
2004|Connection Science|246|22.476|21.711
2005|Connection Science|280|22.091|21.122
2006|Connection Science|298|15.804|14.507
2007|Connection Science|316|19.942|18.442
2008|Connection Science|373|16.077|15.193
2009|Connection Science|420|13.7|12.894
2010|Connection Science|358|12.65|11.593
2011|Connection Science|285|8.39|7.714
2012|Connection Science|318|6.769|6.063
2013|Connection Science|307|9.852|9.083
2014|Connection Science|276|14.3|13.458
2015|Connection Science|303|12.943|11.818
2016|Connection Science|358|10.54|9.673
2017|Connection Science|326|7.18|6.247
2018|Connection Science|397|7.519|6.846
2019|Connection Science|413|8.167|7.125
2020|Connection Science|1.324|8.081|6.11
2021|Connection Science|921|8.842|8.842
2022|Connection Science|921|7.831|7.831
2004|Network: Computation in Neural Systems|597|31.74|30.513
2005|Network: Computation in Neural Systems|626|30.712|28.657
2006|Network: Computation in Neural Systems|599|25.972|24.972
2007|Network: Computation in Neural Systems|739|30.571|29.186
2008|Network: Computation in Neural Systems|666|31.949|30.616
2009|Network: Computation in Neural Systems|792|21.5|19.964
2010|Network: Computation in Neural Systems|742|12.115|11.158
2011|Network: Computation in Neural Systems|868|8.294|6.761
2012|Network: Computation in Neural Systems|825|8.421|8.088
2013|Network: Computation in Neural Systems|722|9.241|8.741
2014|Network: Computation in Neural Systems|660|7.455|6.585
2015|Network: Computation in Neural Systems|716|5.579|4.932
2016|Network: Computation in Neural Systems|638|7.118|6.556
2017|Network: Computation in Neural Systems|772|7.059|6.353
2018|Network: Computation in Neural Systems|755|6.062|5.062
2019|Network: Computation in Neural Systems|761|5.5|5.0
2020|Network: Computation in Neural Systems|1.273|3.273|2.0
2021|Network: Computation in Neural Systems|804|2.4|0.9
2022|Network: Computation in Neural Systems|804|5.75|4.25
2004|Journal of Intelligent Manufacturing|321|30.576|29.981
2005|Journal of Intelligent Manufacturing|323|25.269|24.926
2006|Journal of Intelligent Manufacturing|463|25.57|24.972
2007|Journal of Intelligent Manufacturing|430|32.505|32.086
2008|Journal of Intelligent Manufacturing|782|34.575|33.557
2009|Journal of Intelligent Manufacturing|979|33.424|32.486
2010|Journal of Intelligent Manufacturing|854|29.574|28.493
2011|Journal of Intelligent Manufacturing|968|22.093|21.234
2012|Journal of Intelligent Manufacturing|1474|20.654|19.376
2013|Journal of Intelligent Manufacturing|1518|24.137|22.995
2014|Journal of Intelligent Manufacturing|1791|24.827|23.096
2015|Journal of Intelligent Manufacturing|2217|26.161|24.166
2016|Journal of Intelligent Manufacturing|2920|25.837|22.802
2017|Journal of Intelligent Manufacturing|3457|26.372|22.705
2018|Journal of Intelligent Manufacturing|3783|26.872|23.337
2019|Journal of Intelligent Manufacturing|4655|26.063|21.752
2020|Journal of Intelligent Manufacturing|5.107|25.023|18.538
2021|Journal of Intelligent Manufacturing|7649|27.795|20.659
2022|Journal of Intelligent Manufacturing|7649|22.654|15.518
2004|Expert Systems with Applications|518|41.118|39.871
2005|Expert Systems with Applications|715|35.207|33.971
2006|Expert Systems with Applications|884|46.567|45.61
2007|Expert Systems with Applications|1254|50.653|49.476
2008|Expert Systems with Applications|3032|56.0|53.404
2009|Expert Systems with Applications|5421|51.575|48.667
2010|Expert Systems with Applications|6615|48.078|46.152
2011|Expert Systems with Applications|9947|45.624|43.421
2012|Expert Systems with Applications|13933|39.181|37.327
2013|Expert Systems with Applications|15895|37.638|35.673
2014|Expert Systems with Applications|19810|37.509|35.269
2015|Expert Systems with Applications|23852|41.411|38.43
2016|Expert Systems with Applications|31192|44.815|40.887
2017|Expert Systems with Applications|33177|41.917|38.149
2018|Expert Systems with Applications|39173|39.295|35.003
2019|Expert Systems with Applications|43958|37.851|32.399
2020|Expert Systems with Applications|6.34|33.299|26.345
2021|Expert Systems with Applications|64974|27.491|18.826
2022|Expert Systems with Applications|64974|17.485|8.82
2004|Annals of Mathematics and Artificial Intelligence|439|15.07|14.219
2005|Annals of Mathematics and Artificial Intelligence|388|13.835|13.294
2006|Annals of Mathematics and Artificial Intelligence|448|14.245|13.489
2007|Annals of Mathematics and Artificial Intelligence|487|10.526|9.938
2008|Annals of Mathematics and Artificial Intelligence|583|13.148|12.426
2009|Annals of Mathematics and Artificial Intelligence|734|13.36|12.467
2010|Annals of Mathematics and Artificial Intelligence|472|11.052|10.622
2011|Annals of Mathematics and Artificial Intelligence|481|9.287|8.929
2012|Annals of Mathematics and Artificial Intelligence|409|10.773|10.573
2013|Annals of Mathematics and Artificial Intelligence|495|9.341|8.853
2014|Annals of Mathematics and Artificial Intelligence|580|8.08|7.389
2015|Annals of Mathematics and Artificial Intelligence|670|9.387|8.443
2016|Annals of Mathematics and Artificial Intelligence|833|8.591|7.784
2017|Annals of Mathematics and Artificial Intelligence|751|8.602|7.703
2018|Annals of Mathematics and Artificial Intelligence|809|7.535|6.524
2019|Annals of Mathematics and Artificial Intelligence|806|5.303|4.525
2020|Annals of Mathematics and Artificial Intelligence|0.732|4.12|3.331
2021|Annals of Mathematics and Artificial Intelligence|1087|3.543|2.524
2022|Annals of Mathematics and Artificial Intelligence|1087|2.524|1.505
2004|IEEE Transactions on Knowledge and Data Engineering|1559|57.711|56.468
2005|IEEE Transactions on Knowledge and Data Engineering|1750|64.52|62.762
2006|IEEE Transactions on Knowledge and Data Engineering|2125|78.297|76.234
2007|IEEE Transactions on Knowledge and Data Engineering|2354|69.111|67.215
2008|IEEE Transactions on Knowledge and Data Engineering|3813|48.641|46.405
2009|IEEE Transactions on Knowledge and Data Engineering|4262|43.699|41.414
2010|IEEE Transactions on Knowledge and Data Engineering|3654|44.977|43.126
2011|IEEE Transactions on Knowledge and Data Engineering|3146|67.84|66.183
2012|IEEE Transactions on Knowledge and Data Engineering|4094|59.46|57.568
2013|IEEE Transactions on Knowledge and Data Engineering|4642|34.074|32.259
2014|IEEE Transactions on Knowledge and Data Engineering|5561|37.54|35.473
2015|IEEE Transactions on Knowledge and Data Engineering|6465|49.983|47.507
2016|IEEE Transactions on Knowledge and Data Engineering|9370|44.804|41.366
2017|IEEE Transactions on Knowledge and Data Engineering|9373|36.693|33.918
2018|IEEE Transactions on Knowledge and Data Engineering|12124|39.339|35.482
2019|IEEE Transactions on Knowledge and Data Engineering|13772|35.901|30.966
2020|IEEE Transactions on Knowledge and Data Engineering|6.87|25.51|18.533
2021|IEEE Transactions on Knowledge and Data Engineering|20454|18.022|8.787
2022|IEEE Transactions on Knowledge and Data Engineering|20454|11.038|1.803
2004|IEEE Transactions on Image Processing|4950|104.143|102.132
2005|IEEE Transactions on Image Processing|5899|157.052|154.624
2006|IEEE Transactions on Image Processing|7045|129.273|126.558
2007|IEEE Transactions on Image Processing|8531|68.631|66.169
2008|IEEE Transactions on Image Processing|12214|73.392|70.077
2009|IEEE Transactions on Image Processing|11472|68.819|65.971
2010|IEEE Transactions on Image Processing|12774|48.945|46.027
2011|IEEE Transactions on Image Processing|12063|60.011|56.969
2012|IEEE Transactions on Image Processing|13814|69.329|66.13
2013|IEEE Transactions on Image Processing|15929|62.43|59.319
2014|IEEE Transactions on Image Processing|18836|53.905|50.28
2015|IEEE Transactions on Image Processing|20697|43.519|39.784
2016|IEEE Transactions on Image Processing|29829|41.739|36.911
2017|IEEE Transactions on Image Processing|31355|40.935|35.864
2018|IEEE Transactions on Image Processing|40201|41.088|34.298
2019|IEEE Transactions on Image Processing|47814|42.86|33.52
2020|IEEE Transactions on Image Processing|9.662|39.127|28.271
2021|IEEE Transactions on Image Processing|67579|30.072|19.031
2022|IEEE Transactions on Image Processing|67579|19.032|7.991
2004|Evolutionary Computation|1083|114.875|111.669
2005|Evolutionary Computation|983|45.403|43.835
2006|Evolutionary Computation|1036|33.429|32.104
2007|Evolutionary Computation|1327|36.478|34.903
2008|Evolutionary Computation|1816|38.0|35.0
2009|Evolutionary Computation|2397|48.808|45.705
2010|Evolutionary Computation|1992|44.164|41.512
2011|Evolutionary Computation|1427|37.056|35.995
2012|Evolutionary Computation|1944|70.255|68.146
2013|Evolutionary Computation|2157|76.348|72.615
2014|Evolutionary Computation|1887|42.312|39.947
2015|Evolutionary Computation|2291|40.872|37.272
2016|Evolutionary Computation|3204|34.717|30.891
2017|Evolutionary Computation|2629|25.681|23.293
2018|Evolutionary Computation|2900|29.66|26.191
2019|Evolutionary Computation|3226|26.733|22.8
2020|Evolutionary Computation|3.17|17.042|13.765
2021|Evolutionary Computation|3763|15.682|10.916
2022|Evolutionary Computation|3763|13.217|8.451
2004|IEEE Transactions on Fuzzy Systems|2071|103.49|102.117
2005|IEEE Transactions on Fuzzy Systems|2281|68.128|66.427
2006|IEEE Transactions on Fuzzy Systems|2579|56.558|54.755
2007|IEEE Transactions on Fuzzy Systems|3166|63.183|61.046
2008|IEEE Transactions on Fuzzy Systems|5211|67.413|63.789
2009|IEEE Transactions on Fuzzy Systems|5961|54.849|51.506
2010|IEEE Transactions on Fuzzy Systems|4875|54.66|51.965
2011|IEEE Transactions on Fuzzy Systems|5441|64.761|60.501
2012|IEEE Transactions on Fuzzy Systems|6237|60.109|54.625
2013|IEEE Transactions on Fuzzy Systems|7208|66.357|60.051
2014|IEEE Transactions on Fuzzy Systems|8581|68.535|59.789
2015|IEEE Transactions on Fuzzy Systems|9220|67.447|60.746
2016|IEEE Transactions on Fuzzy Systems|11648|59.232|51.561
2017|IEEE Transactions on Fuzzy Systems|12946|46.662|38.247
2018|IEEE Transactions on Fuzzy Systems|15574|42.021|33.262
2019|IEEE Transactions on Fuzzy Systems|16974|45.108|35.59
2020|IEEE Transactions on Fuzzy Systems|11.039|40.305|28.276
2021|IEEE Transactions on Fuzzy Systems|25583|25.995|13.742
2022|IEEE Transactions on Fuzzy Systems|25583|19.812|7.559
2004|Journal of Intelligent &amp; Fuzzy Systems|153|0|0.439
2005|Journal of Intelligent &amp; Fuzzy Systems|176|0|0.174
2006|Journal of Intelligent &amp; Fuzzy Systems|144|0|0.283
2007|Journal of Intelligent &amp; Fuzzy Systems|191|0|0.221
2008|Journal of Intelligent &amp; Fuzzy Systems|338|0|0.649
2009|Journal of Intelligent &amp; Fuzzy Systems|336|0|0.74
2010|Journal of Intelligent &amp; Fuzzy Systems|318|7.429|6.781
2011|Journal of Intelligent &amp; Fuzzy Systems|343|8.018|7.462
2012|Journal of Intelligent &amp; Fuzzy Systems|347|9.167|8.379
2013|Journal of Intelligent &amp; Fuzzy Systems|411|8.96|8.024
2014|Journal of Intelligent &amp; Fuzzy Systems|963|9.952|8.14
2015|Journal of Intelligent &amp; Fuzzy Systems|1215|12.242|11.238
2016|Journal of Intelligent &amp; Fuzzy Systems|2127|11.82|10.559
2017|Journal of Intelligent &amp; Fuzzy Systems|3841|9.562|8.136
2018|Journal of Intelligent &amp; Fuzzy Systems|5527|9.441|7.804
2019|Journal of Intelligent &amp; Fuzzy Systems|7339|8.708|6.857
2021|Journal of Intelligent &amp; Fuzzy Systems|10814|5.435|3.698
2022|Journal of Intelligent &amp; Fuzzy Systems|10814|3.132|1.395
2004|Journal of Computer and Systems Sciences International|44|0|0.054
2005|Journal of Computer and Systems Sciences International|53|0|0.105
2006|Journal of Computer and Systems Sciences International|18|0|0.051
2007|Journal of Computer and Systems Sciences International|83|4.02|3.875
2008|Journal of Computer and Systems Sciences International|64|4.253|4.171
2009|Journal of Computer and Systems Sciences International|93|4.0|3.832
2010|Journal of Computer and Systems Sciences International|127|3.589|3.398
2011|Journal of Computer and Systems Sciences International|146|4.067|3.899
2012|Journal of Computer and Systems Sciences International|177|5.284|5.035
2013|Journal of Computer and Systems Sciences International|193|6.345|6.08
2014|Journal of Computer and Systems Sciences International|287|5.206|4.723
2015|Journal of Computer and Systems Sciences International|323|4.799|4.296
2016|Journal of Computer and Systems Sciences International|362|5.408|4.924
2017|Journal of Computer and Systems Sciences International|460|4.226|3.672
2018|Journal of Computer and Systems Sciences International|450|3.445|2.932
2019|Journal of Computer and Systems Sciences International|447|4.108|3.57
2020|Journal of Computer and Systems Sciences International|0.271|3.598|3.062
2021|Journal of Computer and Systems Sciences International|542|2.737|2.015
2022|Journal of Computer and Systems Sciences International|542|1.615|0.893
2004|Artificial Life|546|35.772|33.622
2005|Artificial Life|568|32.283|30.426
2006|Artificial Life|593|30.191|28.422
2007|Artificial Life|784|22.013|20.369
2008|Artificial Life|755|13.279|12.115
2009|Artificial Life|1070|11.966|10.006
2010|Artificial Life|816|20.482|18.339
2011|Artificial Life|696|27.325|25.043
2012|Artificial Life|715|20.217|18.632
2013|Artificial Life|727|17.227|15.297
2014|Artificial Life|593|10.8|9.414
2015|Artificial Life|624|11.46|10.418
2016|Artificial Life|921|9.053|7.737
2017|Artificial Life|721|7.23|6.333
2018|Artificial Life|869|10.554|8.946
2019|Artificial Life|835|9.064|7.878
2020|Artificial Life|0.467|4.275|3.608
2021|Artificial Life|782|5.907|4.19
2022|Artificial Life|782|5.41|3.693
2004|Integrated Computer-Aided Engineering|53|15.034|14.886
2005|Integrated Computer-Aided Engineering|79|13.241|12.797
2006|Integrated Computer-Aided Engineering|80|8.245|8.009
2007|Integrated Computer-Aided Engineering|72|9.453|9.34
2008|Integrated Computer-Aided Engineering|154|15.449|14.832
2009|Integrated Computer-Aided Engineering|254|13.686|11.644
2010|Integrated Computer-Aided Engineering|304|7.264|5.142
2011|Integrated Computer-Aided Engineering|358|16.164|12.713
2012|Integrated Computer-Aided Engineering|421|16.069|12.699
2013|Integrated Computer-Aided Engineering|527|9.983|5.316
2014|Integrated Computer-Aided Engineering|516|12.763|8.065
2015|Integrated Computer-Aided Engineering|533|16.259|11.278
2016|Integrated Computer-Aided Engineering|632|21.254|15.99
2017|Integrated Computer-Aided Engineering|587|19.475|15.808
2018|Integrated Computer-Aided Engineering|691|19.333|14.429
2019|Integrated Computer-Aided Engineering|665|21.113|16.407
2020|Integrated Computer-Aided Engineering|3.673|13.943|9.116
2021|Integrated Computer-Aided Engineering|891|12.685|6.548
2022|Integrated Computer-Aided Engineering|891|9.797|3.66
2004|Journal of Artificial Intelligence Research|946|0|2.045
2005|Journal of Artificial Intelligence Research|1002|0|2.247
2006|Journal of Artificial Intelligence Research|1216|0|1.795
2007|Journal of Artificial Intelligence Research|1296|0|1.107
2008|Journal of Artificial Intelligence Research|1766|0|1.611
2009|Journal of Artificial Intelligence Research|2238|0|1.981
2010|Journal of Artificial Intelligence Research|1739|0|1.691
2011|Journal of Artificial Intelligence Research|1554|0|1.143
2012|Journal of Artificial Intelligence Research|1638|0|1.056
2013|Journal of Artificial Intelligence Research|1824|0|0.904
2014|Journal of Artificial Intelligence Research|2214|0|1.257
