Rank,Full Journal Title,JCR Abbreviated Title,Category,ISSN,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Eigenfactor Score,Article Influence Score,Average Journal Impact Factor Percentile
9498,Advances in Civil Engineering,ADV CIV ENG,"ENGINEERING, CIVIL",1687-8086,345,0.827,0.769,Not Available,0.091,0.000860,1.209,26.002
9498,Advances in Civil Engineering,ADV CIV ENG,CONSTRUCTION & BUILDING TECHNOLOGY,1687-8086,345,0.827,0.769,Not Available,0.091,0.000860,1.209,26.002
9498,CHINESE JOURNAL OF PHYSIOLOGY,CHINESE J PHYSIOL,PHYSIOLOGY,0304-4920,532,0.827,0.716,0.948,0.135,0.000530,0.184,10.241
9498,CONSTRUCTIVE APPROXIMATION,CONSTR APPROX,MATHEMATICS,0176-4276,"1,165",0.827,0.765,1.077,0.571,0.003030,1.130,62.621
9498,JOURNAL OF LIQUID CHROMATOGRAPHY & RELATED TECHNOLOGIES,J LIQ CHROMATOGR R T,"CHEMISTRY, ANALYTICAL",1082-6076,"2,515",0.827,0.734,0.727,0.133,0.001860,0.134,13.169
9498,JOURNAL OF LIQUID CHROMATOGRAPHY & RELATED TECHNOLOGIES,J LIQ CHROMATOGR R T,'BIOCHEMICAL RESEARCH METHODS,1082-6076,"2,515",0.827,0.734,0.727,0.133,0.001860,0.134,13.169
9498,JOURNAL OF THE AMERICAN MOSQUITO CONTROL ASSOCIATION,J AM MOSQUITO CONTR,ENTOMOLOGY,8756-971X,"2,262",0.827,0.627,0.945,0.096,0.000920,0.230,34.896
9498,NUMERICAL FUNCTIONAL ANALYSIS AND OPTIMIZATION,NUMER FUNC ANAL OPT,"MATHEMATICS, APPLIED",0163-0563,"1,051",0.827,0.786,0.883,0.101,0.002470,0.466,35.913
9498,Revista Portuguesa de Cardiologia,REV PORT CARDIOL,CARDIAC & CARDIOVASCULAR SYSTEMS,0870-2551,824,0.827,0.598,0.831,0.728,0.000990,0.147,5.859
9505,JOURNAL OF APPLIED ANIMAL RESEARCH,J APPL ANIM RES,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",0971-2119,550,0.826,0.776,0.616,0.518,0.000660,0.131,37.500
9505,JOURNAL OF TIME SERIES ANALYSIS,J TIME SER ANAL,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",0143-9782,"1,560",0.826,0.767,1.221,0.4,0.003930,1.215,30.062
9505,JOURNAL OF TIME SERIES ANALYSIS,J TIME SER ANAL,STATISTICS & PROBABILITY,0143-9782,"1,560",0.826,0.767,1.221,0.4,0.003930,1.215,30.062
9505,Social Justice Research,SOC JUSTICE RES,SOCIOLOGY,0885-7466,"1,011",0.826,0.783,1.440,0.471,0.000920,0.577,22.030
9505,Social Justice Research,SOC JUSTICE RES,"PSYCHOLOGY, SOCIAL",0885-7466,"1,011",0.826,0.783,1.440,0.471,0.000920,0.577,22.030
9505,Statistics in Biopharmaceutical Research,STAT BIOPHARM RES,STATISTICS & PROBABILITY,1946-6315,199,0.826,0.696,0.744,0.159,0.001360,0.591,24.039
9505,Statistics in Biopharmaceutical Research,STAT BIOPHARM RES,'MATHEMATICAL & COMPUTATIONAL BIOLOGY,1946-6315,199,0.826,0.696,0.744,0.159,0.001360,0.591,24.039
9509,FORMAL METHODS IN SYSTEM DESIGN,FORM METHOD SYST DES,"COMPUTER SCIENCE, THEORY & METHODS",0925-9856,407,0.825,0.800,0.966,0.3,0.000920,0.561,28.641
9509,Issues in Mental Health Nursing,ISSUES MENT HEALTH N,PSYCHIATRY-SSCI,0161-2840,"1,826",0.825,0.670,Not Available,0.15,0.002040,0.360,19.705
9509,Issues in Mental Health Nursing,ISSUES MENT HEALTH N,NURSING-SSCI,0161-2840,"1,826",0.825,0.670,Not Available,0.15,0.002040,0.360,19.705
9509,Issues in Mental Health Nursing,ISSUES MENT HEALTH N,NURSING-SCIE,0161-2840,"1,826",0.825,0.670,Not Available,0.15,0.002040,0.360,19.705
9509,Issues in Mental Health Nursing,ISSUES MENT HEALTH N,PSYCHIATRY-SCIE,0161-2840,"1,826",0.825,0.670,Not Available,0.15,0.002040,0.360,19.705
9509,JOURNAL OF MORAL EDUCATION,J MORAL EDUC,EDUCATION & EDUCATIONAL RESEARCH,0305-7240,744,0.825,0.714,1.087,0.258,0.000710,0.347,23.319
9509,Journal of Real Estate Research,J REAL ESTATE RES,ECONOMICS,0896-5803,825,0.825,0.325,1.149,0.3,0.000440,0.322,30.901
9509,Journal of Real Estate Research,J REAL ESTATE RES,"BUSINESS, FINANCE",0896-5803,825,0.825,0.325,1.149,0.3,0.000440,0.322,30.901
9509,WATER ENVIRONMENT RESEARCH,WATER ENVIRON RES,ENVIRONMENTAL SCIENCES,1061-4303,"2,802",0.825,0.669,0.852,0.091,0.001600,0.155,14.763
9509,WATER ENVIRONMENT RESEARCH,WATER ENVIRON RES,WATER RESOURCES,1061-4303,"2,802",0.825,0.669,0.852,0.091,0.001600,0.155,14.763
9509,WATER ENVIRONMENT RESEARCH,WATER ENVIRON RES,"ENGINEERING, ENVIRONMENTAL",1061-4303,"2,802",0.825,0.669,0.852,0.091,0.001600,0.155,14.763
9509,WATER ENVIRONMENT RESEARCH,WATER ENVIRON RES,LIMNOLOGY,1061-4303,"2,802",0.825,0.669,0.852,0.091,0.001600,0.155,14.763
9515,ASTRONOMY REPORTS,ASTRON REP+,ASTRONOMY & ASTROPHYSICS,1063-7729,"1,706",0.824,0.580,0.839,0.398,0.001330,0.211,15.909
9515,CHINESE JOURNAL OF ANALYTICAL CHEMISTRY,CHINESE J ANAL CHEM,"CHEMISTRY, ANALYTICAL",0253-3820,"1,882",0.824,0.491,0.657,0.113,0.001890,0.088,18.125
9515,Early Child Development and Care,EARLY CHILD DEV CARE,EDUCATION & EDUCATIONAL RESEARCH,0300-4430,"1,603",0.824,0.720,Not Available,0.264,0.002070,0.601,15.217
9515,Early Child Development and Care,EARLY CHILD DEV CARE,"PSYCHOLOGY, DEVELOPMENTAL",0300-4430,"1,603",0.824,0.720,Not Available,0.264,0.002070,0.601,15.217
9515,INTERNATIONAL JOURNAL OF AVIATION PSYCHOLOGY,INT J AVIAT PSYCHOL,"PSYCHOLOGY, APPLIED",1050-8414,611,0.824,0.706,0.757,0.0,0.000130,0.136,9.146
9515,Journal of Neuroscience Psychology and Economics,J NEUROSCI PSYCHOL E,"PSYCHOLOGY, MULTIDISCIPLINARY",1937-321X,201,0.824,0.794,1.265,0.0,0.000610,0.535,30.477
9515,Journal of Neuroscience Psychology and Economics,J NEUROSCI PSYCHOL E,ECONOMICS,1937-321X,201,0.824,0.794,1.265,0.0,0.000610,0.535,30.477
9515,OPTICS AND SPECTROSCOPY,OPT SPECTROSC+,OPTICS,0030-400X,"2,911",0.824,0.610,0.713,0.181,0.002280,0.119,15.451
9515,OPTICS AND SPECTROSCOPY,OPT SPECTROSC+,SPECTROSCOPY,0030-400X,"2,911",0.824,0.610,0.713,0.181,0.002280,0.119,15.451
9515,PSYCHOANALYTIC PSYCHOLOGY,PSYCHOANAL PSYCHOL,"PSYCHOLOGY, CLINICAL",0736-9735,663,0.824,0.730,0.987,0.271,0.001200,0.552,55.988
9515,PSYCHOANALYTIC PSYCHOLOGY,PSYCHOANAL PSYCHOL,"PSYCHOLOGY, PSYCHOANALYSIS",0736-9735,663,0.824,0.730,0.987,0.271,0.001200,0.552,55.988
9515,STRATIGRAPHY AND GEOLOGICAL CORRELATION,STRATIGR GEO CORREL+,PALEONTOLOGY,0869-5938,662,0.824,0.581,0.913,0.079,0.000830,0.309,27.853
9515,VITIS,VITIS,HORTICULTURE,0042-7500,"1,146",0.824,0.739,0.865,0.4,0.000650,0.213,58.108
9524,JOURNAL OF PHYTOPATHOLOGY,J PHYTOPATHOL,PLANT SCIENCES,0931-1785,"2,399",0.823,0.786,0.877,0.085,0.001960,0.227,25.450
9525,ADVANCES IN NURSING SCIENCE,ADV NURS SCI,NURSING-SCIE,0161-9268,"1,236",0.822,0.726,1.136,0.121,0.000740,0.305,24.468
9525,ADVANCES IN NURSING SCIENCE,ADV NURS SCI,NURSING-SSCI,0161-9268,"1,236",0.822,0.726,1.136,0.121,0.000740,0.305,24.468
9525,Lex Localis-Journal of Local Self-Government,LEX LOCALIS,POLITICAL SCIENCE,1581-5374,170,0.822,0.426,0.668,0.136,0.000230,0.079,25.935
MARINE & FRESHWATER BIOLOGY,PACIFIC SCIENCE,PAC SCI,ZOOLOGY,0030-8870,"1,407",0.822,0.644,1.000,0.405,0.000740,0.277,30.251
MARINE & FRESHWATER BIOLOGY,PACIFIC SCIENCE,PAC SCI,MARINE & FRESHWATER BIOLOGY,0030-8870,"1,407",0.822,0.644,1.000,0.405,0.000740,0.277,30.251
9525,RADIATION PROTECTION DOSIMETRY,RADIAT PROT DOSIM,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",0144-8420,"5,823",0.822,0.696,0.899,0.517,0.006310,0.238,15.839
9525,RADIATION PROTECTION DOSIMETRY,RADIAT PROT DOSIM,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",0144-8420,"5,823",0.822,0.696,0.899,0.517,0.006310,0.238,15.839
9525,RADIATION PROTECTION DOSIMETRY,RADIAT PROT DOSIM,ENVIRONMENTAL SCIENCES,0144-8420,"5,823",0.822,0.696,0.899,0.517,0.006310,0.238,15.839
9525,RADIATION PROTECTION DOSIMETRY,RADIAT PROT DOSIM,NUCLEAR SCIENCE & TECHNOLOGY,0144-8420,"5,823",0.822,0.696,0.899,0.517,0.006310,0.238,15.839
9530,Critical Discourse Studies,CRIT DISCOURSE STUD,COMMUNICATION,1740-5904,405,0.821,0.768,1.267,0.792,0.000830,0.447,29.167
9530,Higher Education Policy,HIGH EDUC POLICY,EDUCATION & EDUCATIONAL RESEARCH,0952-8733,573,0.821,0.786,1.269,0.2,0.000610,0.334,22.479
9530,JOURNAL OF AFRICAN ECONOMIES,J AFR ECON,ECONOMICS,0963-8024,852,0.821,0.731,1.371,0.188,0.001210,0.527,32.153
9533,JOURNAL OF CONTINUING EDUCATION IN NURSING,J CONTIN EDUC NURS,NURSING-SCIE,0022-0124,920,0.820,0.692,1.045,0.077,0.001080,0.237,23.609
9533,JOURNAL OF CONTINUING EDUCATION IN NURSING,J CONTIN EDUC NURS,NURSING-SSCI,0022-0124,920,0.820,0.692,1.045,0.077,0.001080,0.237,23.609
9533,NUCLEAR SCIENCE AND ENGINEERING,NUCL SCI ENG,NUCLEAR SCIENCE & TECHNOLOGY,0029-5639,"2,355",0.820,0.608,0.966,0.344,0.002610,0.456,31.818
9533,PROGRESS IN CHEMISTRY,PROG CHEM,"CHEMISTRY, MULTIDISCIPLINARY",1005-281X,"1,184",0.820,0.714,0.628,0.225,0.001350,0.105,20.175
9537,ANNALS ACADEMY OF MEDICINE SINGAPORE,ANN ACAD MED SINGAP,"MEDICINE, GENERAL & INTERNAL",0304-4602,"2,351",0.819,0.777,1.172,0.063,0.001160,0.309,26.948
9537,Brazilian Journal of Probability and Statistics,BRAZ J PROBAB STAT,STATISTICS & PROBABILITY,0103-0752,229,0.819,0.806,0.801,0.222,0.000920,0.402,33.740
9537,PEDIATRIC NEUROSURGERY,PEDIATR NEUROSURG,PEDIATRICS,1016-2291,"1,905",0.819,0.806,0.841,0.164,0.000870,0.260,10.561
9537,PEDIATRIC NEUROSURGERY,PEDIATR NEUROSURG,CLINICAL NEUROLOGY,1016-2291,"1,905",0.819,0.806,0.841,0.164,0.000870,0.260,10.561
9537,PEDIATRIC NEUROSURGERY,PEDIATR NEUROSURG,SURGERY,1016-2291,"1,905",0.819,0.806,0.841,0.164,0.000870,0.260,10.561
9537,PROGRES EN UROLOGIE,PROG UROL,UROLOGY & NEPHROLOGY,1166-7087,993,0.819,0.362,0.542,0.078,0.001010,0.081,8.553
9537,SOUTH ATLANTIC QUARTERLY,S ATL Q,CULTURAL STUDIES,0038-2876,794,0.819,0.809,1.064,0.077,0.001610,0.466,58.750
9537,TENSIDE SURFACTANTS DETERGENTS,TENSIDE SURFACT DET,"ENGINEERING, CHEMICAL",0932-3414,453,0.819,0.551,0.682,0.161,0.000330,0.081,18.006
9537,TENSIDE SURFACTANTS DETERGENTS,TENSIDE SURFACT DET,"CHEMISTRY, PHYSICAL",0932-3414,453,0.819,0.551,0.682,0.161,0.000330,0.081,18.006
9537,TENSIDE SURFACTANTS DETERGENTS,TENSIDE SURFACT DET,"CHEMISTRY, APPLIED",0932-3414,453,0.819,0.551,0.682,0.161,0.000330,0.081,18.006
9543,Australian Academic & Research Libraries,AUST ACAD RES LIBR,INFORMATION SCIENCE & LIBRARY SCIENCE,0004-8623,210,0.818,0.818,1.048,Not Available,0.000210,0.184,39.205
9543,QUARTERLY JOURNAL OF ENGINEERING GEOLOGY AND HYDROGEOLOGY,Q J ENG GEOL HYDROGE,"GEOSCIENCES, MULTIDISCIPLINARY",1470-9236,"1,300",0.818,0.618,1.163,0.4,0.000520,0.238,11.938
9543,QUARTERLY JOURNAL OF ENGINEERING GEOLOGY AND HYDROGEOLOGY,Q J ENG GEOL HYDROGE,"ENGINEERING, GEOLOGICAL",1470-9236,"1,300",0.818,0.618,1.163,0.4,0.000520,0.238,11.938
9543,SWEDISH DENTAL JOURNAL,SWED DENT J,"DENTISTRY, ORAL SURGERY & MEDICINE",0347-9994,678,0.818,0.818,0.939,Not Available,0.000380,0.283,9.341
9546,Acta Botanica Brasilica,ACTA BOT BRAS,PLANT SCIENCES,0102-3306,"1,562",0.817,0.690,0.878,0.211,0.001230,0.222,25.000
9546,EAST EUROPEAN POLITICS AND SOCIETIES,E EUR POLIT SOC,POLITICAL SCIENCE,0888-3254,473,0.817,0.710,0.810,0.119,0.001170,0.404,47.518
9546,EAST EUROPEAN POLITICS AND SOCIETIES,E EUR POLIT SOC,AREA STUDIES,0888-3254,473,0.817,0.710,0.810,0.119,0.001170,0.404,47.518
9546,INTERNAL MEDICINE,INTERNAL MED,"MEDICINE, GENERAL & INTERNAL",0918-2918,"5,780",0.817,0.779,0.936,0.153,0.008540,0.242,26.299
9546,ISRAEL MEDICAL ASSOCIATION JOURNAL,ISR MED ASSOC J,"MEDICINE, GENERAL & INTERNAL",1565-1088,"2,335",0.817,0.760,0.938,0.312,0.002930,0.261,26.299
9546,Neurologia i Neurochirurgia Polska,NEUROL NEUROCHIR POL,CLINICAL NEUROLOGY,0028-3843,664,0.817,0.793,0.917,0.303,0.001190,0.219,6.345
9546,SOUTHEAST ASIAN JOURNAL OF TROPICAL MEDICINE AND PUBLIC HEALTH,SE ASIAN J TROP MED,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",0125-1562,"2,818",0.817,0.559,0.864,0.025,0.001990,0.203,12.260
9546,SOUTHEAST ASIAN JOURNAL OF TROPICAL MEDICINE AND PUBLIC HEALTH,SE ASIAN J TROP MED,INFECTIOUS DISEASES,0125-1562,"2,818",0.817,0.559,0.864,0.025,0.001990,0.203,12.260
9546,SOUTHEAST ASIAN JOURNAL OF TROPICAL MEDICINE AND PUBLIC HEALTH,SE ASIAN J TROP MED,TROPICAL MEDICINE,0125-1562,"2,818",0.817,0.559,0.864,0.025,0.001990,0.203,12.260
9552,CANADIAN MODERN LANGUAGE REVIEW-REVUE CANADIENNE DES LANGUES VIVANTES,CAN MOD LANG REV,LINGUISTICS,0008-4506,685,0.816,0.789,1.000,0.043,0.000330,0.262,49.448
9552,INTERNATIONAL JOURNAL OF NUMERICAL MODELLING-ELECTRONIC NETWORKS DEVICES AND FIELDS,INT J NUMER MODEL EL,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",0894-3370,496,0.816,0.612,0.696,0.905,0.000690,0.154,20.643
9552,INTERNATIONAL JOURNAL OF NUMERICAL MODELLING-ELECTRONIC NETWORKS DEVICES AND FIELDS,INT J NUMER MODEL EL,"ENGINEERING, ELECTRICAL & ELECTRONIC",0894-3370,496,0.816,0.612,0.696,0.905,0.000690,0.154,20.643
9552,JOURNAL OF THE AMERICAN SOCIETY FOR HORTICULTURAL SCIENCE,J AM SOC HORTIC SCI,HORTICULTURE,0003-1062,"4,680",0.816,0.723,1.211,0.096,0.001300,0.287,55.405
9552,RUSSIAN JOURNAL OF PLANT PHYSIOLOGY,RUSS J PLANT PHYSL+,PLANT SCIENCES,1021-4437,"1,382",0.816,0.704,0.832,0.099,0.001180,0.166,24.550
9552,THEORY & PSYCHOLOGY,THEOR PSYCHOL,"PSYCHOLOGY, MULTIDISCIPLINARY",0959-3543,"1,108",0.816,0.701,1.209,1.159,0.001150,0.388,27.778
9557,Bangladesh Journal of Pharmacology,BANGL J PHARMACOL,PHARMACOLOGY & PHARMACY,1991-007X,515,0.815,0.578,0.793,0.145,0.000720,0.105,8.238
9557,Landscape and Ecological Engineering,LANDSC ECOL ENG,ECOLOGY,1860-1871,316,0.815,0.685,0.985,0.269,0.000380,0.208,21.568
9557,Landscape and Ecological Engineering,LANDSC ECOL ENG,BIODIVERSITY CONSERVATION,1860-1871,316,0.815,0.685,0.985,0.269,0.000380,0.208,21.568
9557,MYCOTAXON,MYCOTAXON,MYCOLOGY,0093-4666,"2,397",0.815,0.621,0.823,0.076,0.001850,0.183,1.724
9560,CARTOGRAPHIC JOURNAL,CARTOGR J,GEOGRAPHY,0008-7041,562,0.814,0.695,0.994,0.304,0.000490,0.220,18.452
9560,Electronic Journal of Statistics,ELECTRON J STAT,STATISTICS & PROBABILITY,1935-7524,"1,266",0.814,0.764,1.287,0.256,0.010470,1.365,32.927
9560,JOURNAL OF STATISTICAL PLANNING AND INFERENCE,J STAT PLAN INFER,STATISTICS & PROBABILITY,0378-3758,"4,704",0.814,0.793,0.983,0.237,0.008700,0.820,32.927
9560,Journal of Higher Education Policy and Management,J HIGH EDUC POLICY M,EDUCATION & EDUCATIONAL RESEARCH,1360-080X,809,0.814,0.608,Not Available,0.214,0.000720,0.539,22.059
9564,FACIAL PLASTIC SURGERY,FACIAL PLAST SURG,SURGERY,0736-6825,950,0.813,0.681,0.892,0.207,0.001010,0.194,14.250
9565,ASTERISQUE,ASTERISQUE,MATHEMATICS,0303-1179,"1,499",0.812,0.754,1.083,0.167,0.004420,2.058,62.298
9565,CANADIAN JOURNAL OF BEHAVIOURAL SCIENCE-REVUE CANADIENNE DES SCIENCES DU COMPORTEMENT,CAN J BEHAV SCI,"PSYCHOLOGY, MULTIDISCIPLINARY",0008-400X,"1,197",0.812,0.812,1.176,0.154,0.001050,0.408,27.037
9565,FORDHAM LAW REVIEW,FORDHAM LAW REV,LAW,0015-704X,"1,390",0.812,0.667,1.011,1.22,0.002470,0.394,41.156
9565,JOURNAL OF PORTFOLIO MANAGEMENT,J PORTFOLIO MANAGE,"BUSINESS, FINANCE",0095-4918,"1,502",0.812,0.525,0.887,0.31,0.000990,0.280,28.061
9565,NURSING CLINICS OF NORTH AMERICA,NURS CLIN N AM,NURSING-SCIE,0029-6465,605,0.812,0.802,0.849,0.133,0.000730,0.223,22.751
9565,NURSING CLINICS OF NORTH AMERICA,NURS CLIN N AM,NURSING-SSCI,0029-6465,605,0.812,0.802,0.849,0.133,0.000730,0.223,22.751
9565,Statistical Applications in Genetics and Molecular Biology,STAT APPL GENET MOL,STATISTICS & PROBABILITY,2194-6302,"1,196",0.812,0.768,1.104,0.077,0.001730,0.596,15.761
9565,Statistical Applications in Genetics and Molecular Biology,STAT APPL GENET MOL,BIOCHEMISTRY & MOLECULAR BIOLOGY,2194-6302,"1,196",0.812,0.768,1.104,0.077,0.001730,0.596,15.761
9565,Statistical Applications in Genetics and Molecular Biology,STAT APPL GENET MOL,'MATHEMATICAL & COMPUTATIONAL BIOLOGY,2194-6302,"1,196",0.812,0.768,1.104,0.077,0.001730,0.596,15.761
9565,Weather,WEATHER,METEOROLOGY & ATMOSPHERIC SCIENCES,0043-1656,995,0.812,0.624,0.742,0.24,0.000980,0.268,9.884
9573,DIAGNOSTICA,DIAGNOSTICA,"PSYCHOLOGY, CLINICAL",0012-1924,886,0.811,0.784,1.182,0.292,0.000440,0.369,15.354
9573,JOURNAL OF HOUSING ECONOMICS,J HOUS ECON,ECONOMICS,1051-1377,891,0.811,0.774,1.478,0.083,0.001500,0.802,25.310
9573,JOURNAL OF HOUSING ECONOMICS,J HOUS ECON,URBAN STUDIES,1051-1377,891,0.811,0.774,1.478,0.083,0.001500,0.802,25.310
9573,Journal of Veterinary Research,J VET RES,VETERINARY SCIENCES,2450-7393,132,0.811,0.608,0.973,0.042,0.000140,0.143,39.643
9573,SLAVIC REVIEW,SLAVIC REV,AREA STUDIES,0037-6779,783,0.811,0.755,0.921,0.078,0.000560,0.325,62.500
9573,SPANISH JOURNAL OF AGRICULTURAL RESEARCH,SPAN J AGRIC RES,"AGRICULTURE, MULTIDISCIPLINARY",1695-971X,"1,270",0.811,0.719,0.962,0.06,0.001620,0.214,49.107
9578,AJAR-African Journal of AIDS Research,AJAR-AFR J AIDS RES,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1608-5906,444,0.810,0.759,1.077,0.146,0.000920,0.370,10.235
9578,AJAR-African Journal of AIDS Research,AJAR-AFR J AIDS RES,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1608-5906,444,0.810,0.759,1.077,0.146,0.000920,0.370,10.235
9578,ANNALS OF CARNEGIE MUSEUM,ANN CARNEGIE MUS,ZOOLOGY,0097-4463,463,0.810,0.762,0.817,0.111,0.000220,0.268,28.376
9578,ANNALS OF CARNEGIE MUSEUM,ANN CARNEGIE MUS,PALEONTOLOGY,0097-4463,463,0.810,0.762,0.817,0.111,0.000220,0.268,28.376
9578,CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS-REVUE CANADIENNE D AGROECONOMIE,CAN J AGR ECON,ECONOMICS,0008-3976,665,0.810,0.746,1.178,0.556,0.000640,0.318,34.911
9578,CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS-REVUE CANADIENNE D AGROECONOMIE,CAN J AGR ECON,AGRICULTURAL ECONOMICS & POLICY,0008-3976,665,0.810,0.746,1.178,0.556,0.000640,0.318,34.911
9578,HISTORY AND THEORY,HIST THEORY,HISTORY,0018-2656,"1,044",0.810,0.724,1.566,0.12,0.001350,0.723,90.449
9578,Journal of the Indian Society of Remote Sensing,J INDIAN SOC REMOTE,ENVIRONMENTAL SCIENCES,0255-660X,863,0.810,0.709,0.920,0.25,0.001030,0.178,7.583
9578,Journal of the Indian Society of Remote Sensing,J INDIAN SOC REMOTE,REMOTE SENSING,0255-660X,863,0.810,0.709,0.920,0.25,0.001030,0.178,7.583
9585,CAHIERS AGRICULTURES,CAH AGRIC,AGRONOMY,1777-5949,392,0.809,0.532,0.640,0.283,0.000310,0.095,45.212
9585,CAHIERS AGRICULTURES,CAH AGRIC,"AGRICULTURE, MULTIDISCIPLINARY",1777-5949,392,0.809,0.532,0.640,0.283,0.000310,0.095,45.212
9585,INTERACTING WITH COMPUTERS,INTERACT COMPUT,"COMPUTER SCIENCE, CYBERNETICS",0953-5438,"1,348",0.809,0.723,1.251,0.173,0.000730,0.248,14.915
9585,INTERACTING WITH COMPUTERS,INTERACT COMPUT,ETHNIC STUDIES,0953-5438,"1,348",0.809,0.723,1.251,0.173,0.000730,0.248,14.915
9585,JOURNAL OF HISTORICAL SOCIOLOGY,J HIST SOCIOL,SOCIOLOGY,0952-1909,331,0.809,0.787,0.678,0.075,0.000480,0.299,55.946
9585,JOURNAL OF HISTORICAL SOCIOLOGY,J HIST SOCIOL,HISTORY,0952-1909,331,0.809,0.787,0.678,0.075,0.000480,0.299,55.946
9585,JOURNAL OF HISTORICAL SOCIOLOGY,J HIST SOCIOL,ANTHROPOLOGY,0952-1909,331,0.809,0.787,0.678,0.075,0.000480,0.299,55.946
9585,Journal of Bioethical Inquiry,J BIOETHIC INQ,MEDICAL ETHICS,1176-7529,383,0.809,0.709,0.865,1.66,0.000940,0.280,26.144
9585,Journal of Bioethical Inquiry,J BIOETHIC INQ,ETHICS,1176-7529,383,0.809,0.709,0.865,1.66,0.000940,0.280,26.144
9585,Journal of Bioethical Inquiry,J BIOETHIC INQ,"SOCIAL SCIENCES, BIOMEDICAL",1176-7529,383,0.809,0.709,0.865,1.66,0.000940,0.280,26.144
9585,Journal of Bioethical Inquiry,J BIOETHIC INQ,SOCIAL ISSUES,1176-7529,383,0.809,0.709,0.865,1.66,0.000940,0.280,26.144
9585,Journal of Water and Climate Change,J WATER CLIM CHANGE,WATER RESOURCES,2040-2244,309,0.809,0.730,0.973,0.491,0.000670,0.224,19.444
9585,Natural Product Communications,NAT PROD COMMUN,FOOD SCIENCE & TECHNOLOGY,1934-578X,"3,559",0.809,0.652,0.899,0.095,0.005300,0.169,14.432
9585,Natural Product Communications,NAT PROD COMMUN,"CHEMISTRY, MEDICINAL",1934-578X,"3,559",0.809,0.652,0.899,0.095,0.005300,0.169,14.432
9593,TECHNICAL PHYSICS LETTERS,TECH PHYS LETT+,"PHYSICS, APPLIED",1063-7850,"2,612",0.808,0.592,0.699,0.121,0.003030,0.140,13.356
9594,BRITTONIA,BRITTONIA,PLANT SCIENCES,0007-196X,"1,011",0.807,0.682,0.699,0.306,0.000730,0.232,24.099
9594,CLINICAL SOCIAL WORK JOURNAL,CLIN SOC WORK J,SOCIAL WORK,0091-1674,571,0.807,0.723,1.117,0.167,0.000700,0.248,29.762
9594,Sugar Tech,SUGAR TECH,AGRONOMY,0972-1525,611,0.807,0.652,0.952,0.224,0.000880,0.207,41.954
9597,BIOCONTROL SCIENCE,BIOCONTROL SCI,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,1342-4815,269,0.806,0.708,0.755,0.103,0.000340,0.157,10.313
9597,Crop Breeding and Applied Biotechnology,CROP BREED APPL BIOT,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,1984-7033,618,0.806,0.408,0.930,0.115,0.000430,0.123,25.559
9597,Crop Breeding and Applied Biotechnology,CROP BREED APPL BIOT,AGRONOMY,1984-7033,618,0.806,0.408,0.930,0.115,0.000430,0.123,25.559
9597,EXPERIMENTAL TECHNIQUES,EXP TECHNIQUES,"ENGINEERING, MECHANICAL",0732-8818,683,0.806,0.776,0.802,0.15,0.001070,0.216,23.585
9597,EXPERIMENTAL TECHNIQUES,EXP TECHNIQUES,MECHANICS,0732-8818,683,0.806,0.776,0.802,0.15,0.001070,0.216,23.585
9597,European Political Science,EUR POLIT SCI,POLITICAL SCIENCE,1680-4333,341,0.806,0.701,0.833,1.394,0.000730,0.297,30.473
9597,INTERNATIONAL REVIEW OF LAW AND ECONOMICS,INT REV LAW ECON,LAW,0144-8188,727,0.806,0.755,0.931,0.154,0.001380,0.498,35.890
9597,INTERNATIONAL REVIEW OF LAW AND ECONOMICS,INT REV LAW ECON,ECONOMICS,0144-8188,727,0.806,0.755,0.931,0.154,0.001380,0.498,35.890
9597,ISJ-Invertebrate Survival Journal,ISJ-INVERT SURVIV J,ZOOLOGY,1824-307X,420,0.806,0.681,1.151,0.163,0.000470,0.228,18.750
9597,ISJ-Invertebrate Survival Journal,ISJ-INVERT SURVIV J,IMMUNOLOGY,1824-307X,420,0.806,0.681,1.151,0.163,0.000470,0.228,18.750
9597,NORWEGIAN JOURNAL OF GEOLOGY,NORW J GEOL,"GEOSCIENCES, MULTIDISCIPLINARY",0029-196X,851,0.806,0.722,1.527,0.125,0.000690,0.558,10.847
9597,TRANSPLANTATION PROCEEDINGS,TRANSPL P,IMMUNOLOGY,0041-1345,"12,190",0.806,0.721,0.938,0.109,0.012900,0.250,7.336
9597,TRANSPLANTATION PROCEEDINGS,TRANSPL P,SURGERY,0041-1345,"12,190",0.806,0.721,0.938,0.109,0.012900,0.250,7.336
