DOI,Título,Autores,Año,Citas,Revista
10.1080/0952813x.2020.1725653,Neural network for automatic farm control,Ildar Rakhmatulin,2021,3,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2015.1024494,Approximate policy iteration using regularised Bellman residuals minimisation,G. Esposito and M. Martin,2016,1,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2021.1908433,Convergence analysis of a patch structure Nicholson’s blowflies system involving an oscillating death rate,Xianhui Zhang,2022,1,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2020.1864784,A systematic mapping study on agent mining,Emmanuelle Grislin-Le Strugeon and Kathia Marcal de Oliveira and Marie Thilliez and Dorian Petit,2022,1,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2017.1409277,Empirical study on variational inference methods for topic models,Jinjin Chi and Jihong Ouyang and Ximing Li and Changchun Li,2018,3,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/09528130701664608,Emergent command and control architecture for dynamic agent communities,Brian McLaughlan and Henry Hexmoor,2011,1,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/09528130600975873,Efficient information theoretic extraction of higher order features for improving neural network-based spam e-mail categorization,V. Zorkadis and D. A. Karras,2006,5,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2022.2080279,Positive almost periodicity on a n-species food chain system incorporating time-varying delays and polluted environments,Qian Cao,2022,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2010.506296,PCA and neural networks-based soft sensing strategy with application in sodium aluminate solution,Wei Wang and Wen Yu and Lijie Zhao and Tianyou Chai,2011,4,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2018.1550814,Harmony search algorithm for energy system applications: an updated review and analysis,Morteza Nazari-Heris and Behnam Mohammadi-Ivatloo and Somayeh Asadi and Jin-Hong Kim and Zong Woo Geem,2019,23,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2015.1020518,Performance study of evolutionary algorithm for different wavelet filters for satellite image denoising using sub-band adaptive threshold,Ashish Kumar Bhandari and Anil Kumar and Girish Kumar Singh and Vivek Soni,2016,17,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2021.1925972,A classification-based fuzzy-rules proxy model to assist in the full model selection problem in high volume datasets,Angel Díaz-Pacheco and Carlos Alberto Reyes-Garcia,2022,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2021.1924869,Dynamics analysis of delayed Nicholson-type systems involving patch structure and asymptotically almost periodic environments,Hong Zhang and Qian Cao and Hedi Yang,2022,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2021.1924870,Frequencies Wave Sound Particle Swarm Optimisation (FPSO),Ahmad K. Al Hwaitat and Rizik M. H. Al-Sayyed and Imad K. M. Salah and Saher Manaseer and Hamed S. Al-Bdour and Sarah E. Shukri,2022,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2020.1764633,Hierarchical age estimation mechanism with adaBoost-based deep instance weighted fusion,Yongming Li and Fan Li and Yuanlin Zheng and Pin Wang and Mingfeng Jiang and Xinke Li,2021,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2017.1409282,An adaptive SVSF-SLAM algorithm to improve the success and solving the UGVs cooperation problem,Fethi Demim and Abdelkrim Nemra and Kahina Louadj and Mustapha Hamerlain and Abdelouahab Bazoula,2018,5,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2021.1924868,Hybrid optimised deep learning-deep belief network for attack detection in the internet of things,Subramonian Krishna Sarma,2022,1,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2015.1132264,Fault localization algorithm in computer networks by employing a genetic algorithm,Shahram Jamali and Mohammad Sadeq Garshasbi,2017,4,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2022.2115144,A novel Hybrid Harris hawk sine cosine optimization algorithm for reactive power optimization problem,Shangbin Jiao and Chen Wang and Rui Gao and Yuxing Li and Qing Zhang,2022,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/09528130050111455,A refutation of Penrose's Gödelian case against artificial intelligence,Selmer Bringsjord and Hong Xiao,2000,9,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2013.813975,Live multilingual thinking machine,N.K. Jain and Sarika Jain,2013,12,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/09528130600558141,The order effect in human abductive reasoning: an empirical and computational study,Hongbin Wang and Todd R. Johnson and Jiajie Zhang,2006,16,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/09528130600975816,Fuzzy attribute logic over complete residuated lattices,Radim Belohlavek and Vilem VychodiL,2006,18,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2019.1620871,New generalised Bonferroni mean aggregation operators of complex intuitionistic fuzzy information based on Archimedean t-norm and t-conorm,Harish Garg and Dimple Rani,2020,35,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2013.782349,Chaotic electromagnetism-like mechanism algorithm for economic load dispatch of power system,Zhang Zhisheng,2013,5,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2016.1146348,Interactive search for action and motion planning with dynamics,Erion Plaku and Duong Le,2016,6,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2022.2153270,Attributed network embedding with dual fusion strategies,Kunjie Dong and Lihua Zhou and Tong Huang and Guowang Du and Yiting Jiang,2022,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2015.1042534,The minority report: some common assumptions to reconsider in the modelling of the brain and behaviour,Shimon Edelman,2016,17,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2014.940140,Floridi's informational structural realist basis for info-computational modelling of cognizing agents,Gordana Dodig-Crnkovic,2015,2,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2017.1413141,Why is a computational framework for motivational and metacognitive control needed?,Ron Sun,2018,2,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2012.741625,A framework of Voronoi diagram for planning multiple paths in free space,Bonny Banerjee and B. Chandrasekaran,2013,8,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2023.2181404,"A multi-attribute decision-making method for ternary hybrid decision matrices in view of (T, S)-fuzzy rough sets with fuzzy preference relations",Xiaofeng Liu,2023,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2021.1882000,Collaborative filtering based on multiple attribute decision making,Ya-Jun Leng and Zong-Yu Wu and Qing Lu and Shuping Zhao,2022,1,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2023.2183268,Blockchain-based cryptographic approach for privacy enabled data integrity model for IoT healthcare,Mohan Kumar Chandol and M Kameswara Rao,2023,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2015.1116141,A novel symbiotic organisms search algorithm for congestion management in deregulated environment,Sumit Verma and Subhodip Saha and V. Mukherjee,2017,35,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2023.2188261,New Cellular Learning Automata as a framework for online link prediction problem,Mozhdeh Khaksar Manshad and Mohammad Reza Meybodi and Afshin Salajegheh,2023,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2019.1694592,Some power Heronian mean operators in multiple attribute decision-making based on q-rung orthopair hesitant fuzzy environment,Jie Wang and Ping Wang and Guiwu Wei and Cun Wei and Jiang Wu,2020,23,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2019.1647559,A new neural network framework for solving convex second-order cone constrained variational inequality problems with an application in multi-finger robot hands,Alireza Nazemi and Atiye Sabeghi,2020,8,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/09528130050111446,Contextual reasoning distilled,M. Benerecetti and P. Bouquet and C. Ghidini,2000,68,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2023.2178517,Why we need biased AI: How including cognitive biases can enhance AI systems,Thilo Hagendorff and Sarah Fabi,2023,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2020.1737581,Medical diagnosis and treatment is NP-complete,Jeffrey. E. Arle and Kristen W. Carlson,2021,3,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2014.895114,Utility function security in artificially intelligent agents,Roman V. Yampolskiy,2014,19,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2015.1020524,A hybrid heuristic workflow scheduling algorithm for cloud computing environments,Sahar Mirzayi and Vahid Rafe,2015,21,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2020.1725650,GSA-LA: gravitational search algorithm based on learning automata,Mehdi Alirezanejad and Rasul Enayatifar and Homayun Motameni and Hossein Nematzadeh,2021,12,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2016.1259262,A robust optimisation framework in composite generation and transmission expansion planning considering inherent uncertainties,Seyed Amir Mansouri and Mohammad Sadegh Javadi,2017,34,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2015.1055828,Intelligent breast cancer recognition using particle swarm optimization and support vector machines,Abbas Ahmadi and Parnian Afshar,2016,17,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2021.1938694,Thyroid Disorder Diagnosis by Optimal Convolutional Neuron based CNN Architecture,Rajole Bhausaheb Namdeo and Gond Vitthal Janardan,2022,1,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2022.2084566,Chaotic whale-atom search optimization-based deep stacked auto encoder for crowd behaviour recognition,Juginder Pal Singh and Manoj Kumar,2022,1,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2018.1509897,A ladder to human-comparable intelligence: an empirical metric,Matej Šprogar,2018,1,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2019.1572654,A word-building method based on neural network for text classification,Kai Shuang and Hao Guo and Zhixuan Zhang and Jonathan Loo and Sen Su,2019,6,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2019.1591522,Optimal allocation of public parking spots in a smart city: problem characterisation and first algorithms,Javier Arellano-Verdejo and Federico Alonso-Pecina and Enrique Alba and Adolfo Guzmán Arenas,2019,14,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2020.1785018,Adaptive chaotic satin bowerbird optimisation algorithm for numerical function optimisation,Tanachapong Wangkhamhan,2021,6,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2014.921733,A possibilistic defeasible logic programming approach to argumentation-based decision-making,Edgardo Ferretti and Marcelo L. Errecalde and Alejandro J. García and Guillermo R. Simari,2014,11,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2021.1871664,A tuned feed-forward deep neural network algorithm for effort estimation,Muhammed Maruf Öztürk,2022,3,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2022.2058097,COVID-19 health analysis and prediction using machine learning algorithms for Mexico and Brazil patients,Celestine Iwendi and C. G. Y. Huescas and Chinmay Chakraborty and Senthilkumar Mohan,2022,14,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2016.1146350,Truth and probability in evolutionary games,Jeffrey A. Barrett,2017,6,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/09528130210164161,Why can concept lattices support knowledge discovery in databases?,Rudolf Wille,2002,51,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2021.1938696,A human fall detection framework based on multi-camera fusion,Shabnam Ezatzadeh and Mohammad Reza Keyvanpour and Seyed Vahab Shojaedini,2022,7,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2020.1744198,Joint extraction of entities and relations based on character graph convolutional network and Multi-Head Self-Attention Mechanism,Zhao Meng and Shengwei Tian and Long Yu and Yalong Lv,2021,11,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2021.1960634,"Exploratory data analysis, classification, comparative analysis, case severity detection, and internet of things in COVID-19 telemonitoring for smart hospitals",Aysha Shabbir and Maryam Shabbir and Abdul Rehman Javed and Muhammad Rizwan and Celestine Iwendi and Chinmay Chakraborty,2022,24,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2018.1554712,An opposition-based chaotic Grey Wolf Optimizer for global optimisation tasks,Shubham Gupta and Kusum Deep,2019,31,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2015.1020519,Dynamic VMs placement for energy efficiency by PSO in cloud computing,Seyed Ebrahim Dashti and Amir Masoud Rahmani,2016,85,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2021.1872109,A hybrid optimizer based on backtracking search and differential evolution for continuous optimization,Yiğit Çağatay Kuyu and Enrique Onieva and Pedro Lopez-Garcia,2022,2,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2016.1259267,Thermal buckling optimisation of composite plates using firefly algorithm,S. Kamarian and M. Shakeri and M. H. Yas,2017,17,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2022.2080869,Multi-attribute decision-making based on aggregations and similarity measures of neutrosophic hypersoft sets with possibility setting,Atiqe Ur Rahman and Muhammad Saeed and Hamiden Abd El-Wahed Khalifa,2022,1,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2018.1509381,Solving constrained optimisation problems using the improved imperialist competitive algorithm and Deb’s technique,Zahra Aliniya and MohammadReza Keyvanpour,2018,5,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2013.815281,Degree of user attention to a webpage based on Baidu Index: an alternative to page view,Hongwei Wang and Wei Wang and Yuan Meng and Yiwei Zhang,2014,4,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2014.895108,Limitations and risks of machine ethics,Miles Brundage,2014,38,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2016.1146349,Locality preserving hashing for fast image search: theory and applications,Maojing Niu and Liang Wu and Junwei Zeng,2017,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/09528130802319292,Sloughing ontology,Rick Dale,2008,1,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/09528130802319318,"A swan, a pike, and a crawfish walk into a bar",Shimon Edelman,2008,4,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2022.2078890,Organising lexica into analogical grids: a study of a holistic approach for morphological generation under various sizes of data in various languages,Rashel Fam and Yves Lepage,2022,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2015.1132272,A probabilistic neural network based approach for predicting the output power of wind turbines,Sajad Tabatabaei,2017,7,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2013.861876,Hybrid probabilistic-harmony search algorithm methodology in generation scheduling problem,M.J. Estahbanati,2014,31,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2020.1744197,Personalised healthcare model for monitoring and prediction of airpollution: machine learning approach,Veerawali Behal and Ramandeep Singh,2021,3,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2021.1960631,Guaranteed cost leaderless consensus for uncertain Markov jumping multi-agent systems,A. Parivallal and R. Sakthivel and Chao Wang,2023,2,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2019.1672796,MEvo: a framework for effective macro sets evolution,Mauro Vallati and Lukáš Chrpa and Ivan Serina,2020,2,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2014.977829,A multi-scale non-parametric and parametric hybrid multi-category recognition algorithm with probabilistic outputs,Zhao Lu and Haoda Fu and Gangbing Song,2015,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/09528130121568,"Computation, Dynamics, and Cognition",,2001,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2019.1656450,Recent advances in soft computing and its applications,Anupam Yadav and Neha Yadav and Joong Hoon Kim,2019,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/09528130600975758,An algorithm for discovering the frequent closed itemsets in a large database,Ningthoujam Gourakishwar Singh and Sanasam Ranbir Singh and Anjana K. Mahanta and Bhanu Prasad,2006,2,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/09528130500281778,Prodigy bidirectional planning,Eugene Fink * and Jim Blythe,2005,3,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/09528130600558091,Models and heterogeneous reasoning,P. N. Johnson-Laird,2006,11,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2023.2165721,A scaling up approach: a research agenda for medical imaging analysis with applications in deep learning,Yaw Afriyie and Benjamin A. Weyori and Alex A. Opoku,2023,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2018.1544282,A mosaic of Chu spaces and Channel Theory I: Category-theoretic concepts and tools,Chris Fields and James F. Glazebrook,2019,11,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2018.1544285,A mosaic of Chu spaces and Channel Theory II: applications to object identification and mereological complexity,Chris Fields and James F. Glazebrook,2019,10,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2022.2093407,Towards an energy management system based on a multi-agent architecture and LSTM networks,Seif Eddine Bouziane and Mohamed Tarek Khadir,2022,1,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/095281300454775,A counter-example to all future dynamic systems theories of cognition,Eric Dietrich,2000,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2013.782995,Consciousness is dialetheic,John Yablonski and Connor Salanger,2013,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2016.1270358,A novel metric based on changes in pareto domination ratio for objective reduction of many-objective optimization problems,Juan Zou and Jinhua Zheng and Ruiming Shen and Cheng Deng,2017,4,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/09528130500128235,Another look at the phenomenon of phase transition,Eliezer L. Lozinskii *,2005,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2015.1137694,Group search optimiser-based optimal bidding strategies with no Karush–Kuhn–Tucker optimality conditions,Naresh Kumar Yadav and Mukesh Kumar and S. K. Gupta,2017,3,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2021.1960639,Fuzzy whale optimisation algorithm: a new hybrid approach for automatic sonar target recognition,Abbas Saffari and Seyed Hamid Zahiri and Mohammad Khishe,2023,4,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/09528130701538208,Effort analysis in signer-independent sign gestures,F. Jiang and W. Gao and H. Yao and D. Zhao and X. Chen,2008,1,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2018.1456793,Adjudication of coreference annotations via answer set optimisation,Peter Schüller,2018,1,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/13642530701197710,Adaptive dynamic probabilistic networks for distributed uncertainty processing,Dongyu Shi and Jinyuan You,2007,2,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2019.1647557,Fuzzy electromagnetic optimisation clustering algorithm for collaborative filtering,Neetu Kushwaha and Millie Pant,2021,3,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2015.1132265,Probabilistic self-localisation on a qualitative map based on occlusions,Paulo E. Santos and Murilo F. Martins and Valquiria Fenelon and Fabio G. Cozman and Hannah M. Dee,2016,6,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/09528130600926082,Satisfying constraint sets through convex envelopes,Eugene Santos and Eunice E. Santos and Keumjoo Kim,2006,2,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2010.545997,The pathology of heuristic search in the 8-puzzle,Rok Piltaver and Mitja Luštrek and Matjaž Gams,2012,5,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/09528130210153523,Why Turing machine equivalence is (still) important in cognitive science: a reply to Eliasmith,Valerie Gray Hardcastle,2002,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/09528130050111464,Peeking behind the screen: the unsuspected power of the standard Turing Test,Robert M. French,2000,11,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2019.1647561,Adaptive weighted aggregation in Group Improvised Harmony Search for lung nodule classification,Subhajit Kar and Kaushik Das Sharma and Madhubanti Maitra,2020,5,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/09528130119716,On the role of search for learning from examples,Stuart A. Kurtz and Carl H. Smith and Rolf Wiehagen,2001,3,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2021.1960641,Blockchain based holistic trust management protocol for ubiquitous and pervasive IoT network,Anup Patnaik and Banitamani Mallik and M. Vamsi Krishna,2022,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/09528130903157377,Reinforcement learning via approximation of the Q-function,Marina Langlois and Robert H. Sloan,2010,4,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2019.1653385,Real-valued syntactic word vectors,A. Basirat and J. Nivre,2020,2,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/09528130802667690,Solving finite domain constraint hierarchies by local consistency and tree search,Stefano Bistarelli and Philippe Codognet and H.K.C. Hui and J.H.M. Lee,2009,2,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2020.1721569,A mobile robot mapping model inspired from the place cells functionality of hippocampus based on dimension reduction technique,Hesam Omranpour and Saeed Shiry,2021,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2012.693667,Computational models and information theory,Giovanni Camardi,2012,1,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2019.1635655,A shortlist-based bidirectional local search for the stable marriage problem,Hoang Huu Viet and Le Hong Trang and Le Pham Tuyen and Taechoong Chung,2020,2,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2020.1818290,Improving Alzheimer’s disease classification by performing data fusion with vascular dementia and stroke data,Zoran Bosnić and Brankica Bratić and Mirjana Ivanović and Marija Semnic and Iztok Oder and Vladimir Kurbalija and Tijana Vujanić Stankov and Vojislava Bugarski Ignjatović,2021,2,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/09528130903065380,The optimal level of fuzz: case studies in a methodology for psychological research,Arthur B. Markman and Jennifer S. Beer and Lisa R. Grimm and Jonathan R. Rein and W. Todd Maddox,2009,6,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2014.924587,An experimentally derived hybrid intelligent tool for analysing and optimising the clad height and melt-pool depth in laser solid freeform fabrication process,Ahmad Mozaffari and Alireza Fathi,2015,1,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/09528130600575863,Using existential graphs to integrate mental logic theory and mental model theory,Bram Van Heuveln,2006,1,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2022.2067249,Ancillary mechanism for autonomous decision-making process in asymmetric confrontation: a view from Gomoku,Chen Han and Xuanyin Wang,2022,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2015.1042923,Model-free learning on robot kinematic chains using a nested multi-agent topology,John N. Karigiannis and Costas S. Tzafestas,2016,1,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2012.729791,2012 Reviewers,,2012,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/09528130802319144,"Pluralism, relativism and the proper use of theories",Arthur B. Markman,2008,4,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2015.1061730,Erratum,,2016,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2010.502311,Analogy perception applied to seven tests of word comprehension,Peter D. Turney,2011,6,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2019.1672795,An emergent deep developmental model for auditory learning,Dongshu Wang and Yadong Zhang and Jianbin Xin,2020,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/09528130310001659683,Dynamics of an artificial immune network,Leandro Nunes De Castro,2004,1,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/09528130118867,MEXICA: A computer model of a cognitive account of creative writing,"Rafael Pérez ý Pérez, Mike Sharples",2001,9,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/09528130010029794,Introspective reasoning for index refinement in case-based reasoning,Susan Fox and David B. Leake,2001,16,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2013.849953,List of reviewers,,2013,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2013.813977,An adaptive control scheme for doubly fed induction generators – wind turbine implementation,M.J. Estahbanati,2014,6,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2013.783130,"A cognitive neuroscience, dual-systems approach to the sorites paradox",Leib Litman and Mark Zelcer,2013,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/09528130600558125,The mental possible worlds mechanism and the lobster problem: an analysis of a complex GRE logical reasoning task,Yingrui Yang and Selmer Bringsjord and Paul Bello,2006,2,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813021000055199,Computation and cognition,Charles Wallis,2003,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/09528130600558075,Human reasoning is heterogeneous—as Jon Barwise informed us,Selmer Bringsjord and Yingrui Yang,2006,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/09528130512331315837,Enhancing the plausibility of law equation discovery through cross check among multiple scale-type-based models,Takashi Washio * and Hiroshi Motoda and Yuji Niwa,2005,1,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2016.1259271,Metaheuristic optimisation methods for approximate solving of singular boundary value problems,Ali Sadollah and Neha Yadav and Kaizhou Gao and Rong Su,2017,1,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2012.660992,General vague rough approximation: an extended method of fuzzy knowledge representation,Lin Feng and Yong Liu and Cong Li and Chaosheng Feng and Li Shen,2013,1,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/095281300409847,Evaluating robustness in a two layer simulated robot architecture,Larry D. Pyeatt and Adele E. Howe,2000,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2015.1046274,Erratum,,2016,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/09528130412331282763,Co-operative scheduling for a resource-bounded multiagent planning system,Abdel-illah Mouaddib,2004,2,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2018.1456786,A privacy-preserving model for multi-agent propositional planning,Andrea Bonisoli and Alfonso Emilio Gerevini and Alessandro Saetti and Ivan Serina,2018,3,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2016.1198934,Dual PECCS: a cognitive system for conceptual representation and categorization,Antonio Lieto and Daniele P. Radicioni and Valentina Rho,2017,31,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2021.1971777,State-of-the-Art in Automated Story Generation Systems Research,Rebeca Amaya Ansag and Avelino J. Gonzalez,2021,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2012.654930,The reasonability of panpsychism,Adam Karman,2012,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
